分類	書名	説明	URL
松本文庫	大慧普覺禅師普說　一卷	宋釋宗杲撰　宋釋慧然錄　宋黄文昌重輯　日本刊本	M018menu.html
松本文庫	住鼎州梁山廓庵和尚十牛圖　一卷　 坿 　入衆日用　一卷	宋釋皓昇撰　入衆日用　宋釋宗壽撰　日本刊本	M006menu.html
松本文庫	密庵禅師語錄　一卷	宋釋咸傑撰　宋釋崇岳了悟等輯　日本刊本	M015menu.html
松本文庫	破庵語錄　一卷	宋釋圓照等輯　應安三年刊本	M014menu.html
松本文庫	開山護國仁王禪寺語錄　一卷	宋釋慧開撰　日本刊本	M023menu.html
松本文庫	枯崖和尚漫錄　三卷	宋釋圓悟撰　日本刊本	M016menu.html
松本文庫	迦葉結經　一卷	漢釋安世高譯　乙卯歳伊勢常明寺宗存活字印本　宗存版大藏經之一	M047menu.html
松本文庫	大慈恩寺三藏法師傳　十卷	唐釋慧立撰　唐釋彥悰箋　承元四年鈔本	M005menu.html
松本文庫	歷代三寶紀 殘八卷 存卷第三第五至第七第九第十第十四第十五	隋費長房撰   紹興十八年福州開元禪寺刊本　開元寺版大藏經之一	M076menu.html
松本文庫	歷代三寶紀 殘一卷　卷第三	隋費長房撰   明刊本	M081menu.html
松本文庫	大唐西域求法高僧傳　二卷	唐釋義淨撰　紹興十八年福州開元禪寺刊本	M026menu.html
松本文庫	傳法正宗記　十二卷	宋釋契嵩撰　寛永七年活字印本	M064menu.html
松本文庫	五家正宗贊　不分卷	宋釋紹曇撰　慶長十三年西京花園一枝軒活字印本	M066menu.html
松本文庫	續集古今佛道論衡　一卷	唐釋智昇撰　日本活字印本	M069menu.html
松本文庫	南海寄歸內法傳 殘一卷  存卷第二	唐釋義淨撰   紹興十八年福州開元禪寺刊本	M077menu.html
松本文庫	大宋僧史略　三卷　 坿 　紹興朝旨改正僧道班列文字一集　一卷	宋釋贊寧撰　 坿錄　宋闕名輯　日本刊本	M031menu.html
松本文庫	藏乘法數　一卷	元釋可遂輯　日本刊本	M055menu.html
松本文庫	賢首諸乘法數　十卷	明釋行深輯　朝鮮刊本	M053menu.html
松本文庫	出三藏記集 殘十三卷 存卷第一第三至第六第八至第十五	梁釋僧佑撰   紹興十八年福洲開元禪寺刊本　開元寺版大藏經之一	M078menu.html
松本文庫	開元釋敎錄 殘十三卷 存卷第一第三第六第八第十一至第十四第十六至第二十	唐釋智昇撰   紹興十八年福州開元禪寺刊本　開元寺版大藏經之一	M079menu.html
松本文庫	南華眞經注疏　十卷	晉郭象注 唐成玄英疏   遵義黎氏用宋刊本景刊	M012menu.html
松本文庫	太上三元賜福赦罪解厄消災延生保命妙經　一卷	□闕名撰　刊本	M034menu.html
松本文庫	九天應元雷聲普化天尊玉樞寶經　一卷	□闕名撰  　萬曆四十七年刊本	M035menu.html
松本文庫	太上感應篇經傳　一卷	明闕名撰   活字印本	M088menu.html
内藤文庫	大淸三朝實錄	淸康熙中敕修　鈔本	N013top.html
内藤文庫	滿文太祖高皇帝本紀書	淸闕名撰　嘉慶二十四年鈔本	N014menu.html
内藤文庫	元史譯文證補　三十卷　原闕卷七第八第十三第十六第十七第十九至二十一第二十五第二十八	淸洪鈞撰　光緒二十三年元和陸氏刊本	N017menu.html
内藤文庫	欽定蒙古源流　八卷	蒙古小徹辰薩囊台吉撰　乾隆四十二年敕譯　刊本	N009menu.html
内藤文庫	校正元親征錄　一卷　 坿 　刊誤一卷	元闕名撰　淸何秋濤校正　刊誤　淸沈曾植等撰　光緒二十年桐盧袁氏小漚巢刊本	N003menu.html
内藤文庫	夷氛聞記　五卷	淸梁廷枏撰　鈔本	N006menu.html
内藤文庫	黒韃事略　一卷	宋彭大雅徐霆同撰　上虞羅氏舊藏鈔本　内藤虎次郎手校	N004menu.html
内藤文庫	孤樹裒談 十卷	明李默撰   刊本	N018menu.html
内藤文庫	皇輿圖　不分卷	淸闕名撰　刊本	N011menu.html
内藤文庫	蒙古遊牧記　殘六卷	淸張穆撰　淸何秋濤補　鈔本	N005menu.html
内藤文庫	西域瑣談　四卷	淸七十一撰   鈔本	N012menu.html
内藤文庫	河源紀略　十卷	淸乾隆四十七年敕撰　刊本	N023menu.html
内藤文庫	光緒八九二年南路分界日記圖說　一卷	淸沙克都林札布撰　鈔本	N001menu.html
内藤文庫	沿途日記　不分卷	淸闕名撰　鈔本	N007menu.html
内藤文庫	衞藏驛程記　一卷	淸孫毓麒撰　鈔本	N010menu.html
内藤文庫	塞語　一卷	明尹畊撰　隆慶六年成都高氏刊本	N008menu.html
内藤文庫	滿漢並香集　四卷	淸錢書撰　淸尚玉章譯　鈔本	N002menu.html
内藤文庫	滿漢西廂記　四卷	元王德信撰　淸闕名譯　康熙四十九年刊本	N016menu.html
内藤文庫	滿文金甁梅　一百囘	明笑笑生撰　淸闕名譯　康熙四十七年序刊本	N015menu.html
内藤文庫	定西記 不分卷	淸巴忠撰   乾隆五十四年序刊本	N019menu.html
内藤文庫	裔乘 八卷	明楊一葵撰   萬曆四十三年序刊本	N022menu.html
内藤文庫	秘書志 十一卷	元王士點商企翁同撰   鈔本	N021menu.html
内藤文庫	定武敷文 一卷	淸高宗愛新覺羅弘曆撰   刊本	N020menu.html
新學部	佛學手稿	章炳麟手稿	E001menu.html
